name|address|zipcode|city|phone|email|industrydesc
AARHUS VVS A/S|Lystrupvej 21B|8240|Risskov|40252565|vvs@aarhusvvs.dk|Installation af vvs-, varme- og klimaanlæg
Aarhus Tømrer ApS|Åboulevard 54, st|2200|København N|||Tømrer- og bygningssnedkeraktiviteter
Aarhus Maler|Thorsgade 43|8410|Rønde||jakubbazela@gmail.com|Maleraktiviteter
CEJ AARHUS A/S|Runevej 2A|8210|Aarhus V|86104111|aarhus@cej.dk|Administration af fast ejendom på kontraktbasis
Frisør Salon Aarhus|Søborg Hovedgade 64|2860|Søborg|53251873|oguztaha@gmail.com|Drift af frisør- og barbersaloner
Restaurant Aarhus DK ApS|Langelinie Allé 17|2100|København Ø|25655232|bitten@retro.dk|Restauranter
CAFE VIGGO. AARHUS A/S|Åboulevarden 52|8000|Aarhus C|86190011|info@cafeviggo.dk|Servering af mad i restauranter og caféer
CEJ AARHUS A/S|Runevej 2A|8210|Aarhus V|86104111|aarhus@cej.dk|Administration af fast ejendom på kontraktbasis
AARHUS AUTO SERVICE ApS|Oddervej 84|8270|Højbjerg|86275099||Reparation og vedligeholdelse af motorkøretøjer i.a.n.
GASA GROUP DENMARK A/S|Logistikvej 4|5250|Odense SV|65481200|mail@gasagroup.com|Engroshandel med blomster og planter
OPTIK HALLMANN AARHUS ApS|Skt. Clemens Torv 15|8000|Aarhus C|86120944|rene.reincke@optik-hallmann.dk|Optikeraktiviteter
Aarhusbeauty|Søndergade 34, 1|8000|Aarhus C|60110644|info@aarhusbeauty.dk|Skønhedspleje og anden skønhedsbehandling
Bar Sushi Aarhus ApS|Gråbrødre Plads 3|5000|Odense C||bogholderi@barsushi.dk|Restauranter
Lager Service Aarhus ApS|Bredskiftevej 36|8210|Aarhus V|||Godshåndtering
VIBY VVS OG BLIK ApS|Fabrikvej 8|8260|Viby J|86292935|info@viby-vvs.dk|Installation af vvs-, varme- og klimaanlæg
VIBY TØMRER OG SNEDKER ApS|Kildevangs Allé 19|8260|Viby J|86110668||Tømrer- og bygningssnedkeraktiviteter
Viby Maleren v/Kazimierz Raniszewski|Ørslev Gade 69|4100|Ringsted|46195283|vibymaleren@gmail.com|Malerforretninger
Viby Autolakering A/S|Industrivej 15|8260|Viby J|||Reparation og lakering af karosseri samt undervognsbehandling
Magicalmoments.dk|Sønderlundvej 23, 3. tv.|2730|Herlev||info@magicalmoments.dk|Detailhandel med andre nye varer
Viby Autolakering A/S|Industrivej 15|8260|Viby J|||Reparation og lakering af karosseri samt undervognsbehandling
CAFE PARASOLLEN VIBY|Grundtvigsvej 4|8260|Viby J|86117703|mail@cafe-parasollen.dk|Andre sociale støtte- og rådgivningsaktiviteter uden institutionsophold
Viby Autolakering A/S|Industrivej 15|8260|Viby J|||Reparation og lakering af karosseri samt undervognsbehandling
Viby Auto v/Mohammad Bilal Alsoufi|Christian X's Vej 44|8260|Viby J|86115540|vibyauto@hotmail.com|Detailhandel med motorkøretøjer
DANSK FLYTTE COMPAGNI ApS|Søren Nymarks Vej 4|8270|Højbjerg|||None
PROFIL OPTIK VIBY ApS|Elgårdsmindeparken 14|8362|Hørning|27279571|anmadsen@oncable.dk|Optikere
Byens Pizza Viby I/S|Søndergade 12|4130|Viby Sjælland||havalsafo@icloud.com|Drift af øvrige spisesteder
Viby Autolakering A/S|Industrivej 15|8260|Viby J|||Reparation og lakering af karosseri samt undervognsbehandling
Viby Service|Frederiksgade 2B|5000|Odense C||marcusviby@gmail.com|Levering af kombinerede hjælpetjenester i forbindelse med drift af fast ejendom
Risskov VVS ApS|Andkærvej 9|8570|Trustrup|||Installation af vvs-, varme- og klimaanlæg
RISSKOV TØMRER- OG SNEDKERFORRETNING A/S|Viengevej 1|8240|Risskov|86211333||Tømrer- og bygningssnedkeraktiviteter
Risskov Total Maler A/S|Viengevej 1|8240|Risskov|||Maleraktiviteter
RISSKOV INSTALLATØR FORRETNING A/S|Stavneagervej 4|8250|Egå|86211399|hph@rif-as.dk|El-installation
Risskov frisør|Hørgårdsvej 59|8240|Risskov||faha64@hotmail.com|Drift af frisør- og barbersaloner
Risskov Engbolig A/S|Lystrupvej 1E|8240|Risskov|43424320||Udlejning af erhvervsejendomme
CARE-CALL A/S|Nydamsvej 49|8362|Hørning|87899000|bogholderi@care-call.dk|Engroshandel med læge- og hospitalsartikler
Bageren i Risskov ApS|Nordre Strandvej 11A|8240|Risskov|86176622||Detailhandel med bagværk og konfekture
RISSKOV AUTO SERVICE V/POUL NIELSEN|Torsøvej 10|8240|Risskov|||Reparation og vedligeholdelse af motorkøretøjer i.a.n.
Risskov Blomster v/Ewa Klebba|Søftenvej 2|8200|Aarhus N|86177580|info@risskov-blomster.dk|Detailhandel med blomster og planter
OPTIK A/S|Anelystparken 19|8381|Tilst||optiktilst@c.dk|Optikeraktiviteter
Risskov Pizza v/Faranak Arbabzadehzavareh|Ellebjergvej 2|8240|Risskov|86170355||Drift af øvrige spisesteder
